chain_type,chain_length_m,ballast_mass_kg,feasible,max_barrel_tilt_deg,max_anchor_angle_deg,max_excursion_m,max_draft_m,objective
I,36.0,5000.0,True,4.836817964284407,15.04106758718267,35.11161946979298,1.7615308465077513,66.3052553983618
I,36.0,5250.0,True,4.622842296802715,14.921033667755609,35.11171094551328,1.8287977660471975,66.37739553911871
I,36.0,5500.0,True,4.427379994233697,14.801487161140226,35.113166953441684,1.8960654727835244,66.48792694190908
II,30.0,4750.0,True,4.998023991970148,15.007426555616538,28.709611541404936,1.7195296368970423,69.20565952534524
II,30.0,5000.0,True,4.7697813365493715,14.84813846048576,28.712569854037287,1.7867090645122667,69.25213252713603
II,30.0,5250.0,True,4.561876195782125,14.689719318402375,28.716991524331252,1.853890158401833,69.3407439158955
II,30.0,5500.0,True,4.371711533819654,14.532083214799298,28.722674054881782,1.9210727200334339,69.46609712252109
II,32.0,5000.0,True,4.772004561332633,12.022837262586407,30.75296889931445,1.7842581518344216,72.69697802197972
II,32.0,5250.0,True,4.563841492612907,11.878760907898018,30.75594491988237,1.8514717412851536,72.78362790510819
II,32.0,5500.0,True,4.3734542591506615,11.735382034516928,30.760202974475916,1.9186864799350802,72.90711149277725
III,26.0,4750.0,True,4.914501128491086,14.300670949599422,24.252267155233522,1.7490213503478538,76.08126941221569
II,34.0,5000.0,True,4.773097877920209,9.448755104305405,32.77408893153781,1.782475543671716,76.12028468737823
III,26.0,5000.0,True,4.694033563695677,14.09144323574455,24.259233538699554,1.8160902677851574,76.1473006660909
II,34.0,5250.0,True,4.564785827892342,9.317116955224835,32.77584206416753,1.849714846917662,76.2054137199522
III,26.0,5250.0,True,4.492886335123397,13.883573310213992,24.26754424249488,1.8831620080511795,76.25331691274167
II,34.0,5500.0,True,4.374270813917246,9.186105757092236,32.778894495710524,1.9169550748324928,76.32743612354501
III,26.0,5500.0,True,4.30863129240908,13.67695397491877,24.277011458573448,1.950236315694199,76.3942740433916
II,36.0,5000.0,True,4.7733084996869515,7.08145236982973,34.204739246742754,1.781213650722232,78.95135624611666
II,36.0,5250.0,True,4.564946255616813,6.960741665517629,34.20977029867158,1.8484737987041315,79.03966280990521
II,36.0,5500.0,True,4.374391307255317,6.840598463332815,34.21607545901449,1.9157347077377096,79.16485807352512
III,28.0,4750.0,True,4.914962607751566,9.888356536633673,25.53437123518676,1.7461466235997543,79.86429645068989
III,28.0,5000.0,True,4.694389797484566,9.70328569432509,25.527624886804162,1.8132716242818145,79.9164044817733
III,28.0,5250.0,True,4.493158527286602,9.51939001522154,25.539893804561817,1.8803986978796474,80.02621085913502
III,28.0,5500.0,True,4.308836480023871,9.336572578082633,25.55328746762987,1.9475276289853267,80.17096042767761
III,30.0,4750.0,True,4.914962607751798,5.9277599589786805,27.54795095392532,1.7444792564958913,84.37787616942892
III,30.0,5000.0,True,4.694389797484568,5.7630759222984205,27.55671862323479,1.8116452800051797,84.44549821820392
III,30.0,5250.0,True,4.493158527286602,5.599420538315569,27.566823738764995,1.8788128962395187,84.5531407933382
III,30.0,5500.0,True,4.308836480023871,5.4367056525074595,27.57808335626232,1.9459819175860902,84.69575631631005
IV,24.0,4750.0,True,4.825716138197079,10.968923250864579,20.906443824248328,1.7803478515975784,86.8578761006425
IV,24.0,5000.0,True,4.613442336998539,10.713440736700225,20.922962857927725,1.8473201443094822,86.9498475319248
IV,24.0,5250.0,True,4.4194378313823846,10.459883192006293,20.940635291229338,1.9142962964668524,87.07951095399412
IV,24.0,5500.0,True,4.241445914933366,10.208125691442458,20.9592970897593,1.9812760106075942,87.24218891962605
III,32.0,4750.0,True,4.914962607751799,2.331836153907189,28.77012798632234,1.7436936069179625,88.10005320182594
III,32.0,5000.0,True,4.694389797484564,2.184651774015074,28.782337590223463,1.8108908144982043,88.1711171851926
III,32.0,5250.0,True,4.493158527286603,2.0383750378240197,28.795850040748704,1.878089290833484,88.28216709532191
III,32.0,5500.0,True,4.308836480023871,1.8929254009141512,28.81048835067665,1.9452888688066585,88.42816131072439
III,34.0,5000.0,True,4.694389797484553,0.0,30.105924945347166,1.8107644809546941,91.99470454031626
III,34.0,4750.0,True,4.914962607751798,0.0,30.179512121115142,1.743550110422118,92.00943733661873
IV,26.0,4750.0,True,4.825716138197081,4.956688633020844,22.165558903149417,1.7780825616037723,92.01699117954358
III,34.0,5250.0,True,4.493158527286602,0.0,30.033774418367358,1.8779789756574243,92.02009147294056
IV,26.0,5000.0,True,4.613442336998566,4.73692472839146,22.09912921956967,1.8451314034474668,92.02601389356681
IV,26.0,5250.0,True,4.419437831382386,4.518778019399235,22.034037467461715,1.912182906950106,92.07291313022648
III,34.0,5500.0,True,4.308836480023871,0.0,29.9628372299654,1.9451934461986964,92.08051019001314
IV,26.0,5500.0,True,4.241445914933892,4.302138581599721,22.03015841221525,1.9792368332342583,92.21305024208303
III,36.0,5000.0,True,4.694389797484569,0.0,30.10592494535091,1.8107644809544552,94.49470454032004
III,36.0,4750.0,True,4.914962607751799,0.0,30.179512121115142,1.743550110422118,94.50943733661873
III,36.0,5250.0,True,4.493158527286602,0.0,30.03377441836737,1.8779789756574243,94.52009147294058
III,36.0,5500.0,True,4.308836480023871,0.0,29.9628372299654,1.9451934461986968,94.58051019001314
IV,28.0,4750.0,True,4.825716138197081,0.0,23.862428574753164,1.7775080415013074,97.61386085114734
IV,28.0,5000.0,True,4.613442336998566,0.0,23.803278313585267,1.8446054075229126,97.63016298758241
