parameter,factor,barrel_angle_deg,anchor_angle_deg,draft_m,excursion_radius_m
wind_ms,0.8,4.614023919506082,14.785259155545262,1.7597879533022482,33.78099413319891
wind_ms,0.9,4.695380924052957,14.908959697760572,1.7606140264633898,33.79120111131626
wind_ms,1.0,4.78551641383368,15.04106758718267,1.7615308465077513,33.80232169781619
wind_ms,1.1,4.88417858619306,15.180051154534786,1.7625363355385373,33.814284036998885
wind_ms,1.2,4.9910954672574865,15.324425480483658,1.763628234277944,33.827017882554316
current_ms,0.8,3.2881037150786394,11.900020354196092,1.7465266127731198,33.57735011579589
current_ms,0.9,3.9970987553429906,13.682248557783161,1.7535693952337519,33.69697765385209
current_ms,1.0,4.78551641383368,15.04106758718267,1.7615308465077513,33.80232169781619
current_ms,1.1,5.651753541024781,16.094859495336213,1.7704279178618494,33.9014194706211
current_ms,1.2,6.59388301396831,16.92598072803592,1.7802830147526003,33.99876284605476
ballast_mass_kg,0.8,5.864387112528627,15.527729289582274,1.4924747731388486,33.782748513938785
ballast_mass_kg,0.9,5.26926821822585,15.28288589143628,1.6270000211007052,33.78846601949916
ballast_mass_kg,1.0,4.78551641383368,15.04106758718267,1.7615308465077513,33.80232169781619
ballast_mass_kg,1.1,4.384603679015623,14.801487161140226,1.8960654727835244,33.82214440627474
ballast_mass_kg,1.2,4.044191450019819,14.617593261283504,1.9989999999999999,33.8339949347407
seawater_density_kgm3,0.98,4.775351830161811,14.950954001581866,1.8016456649514854,33.816841089638544
seawater_density_kgm3,0.99,4.78040872883005,14.996356809240918,1.7813863404097752,33.80950660997014
seawater_density_kgm3,1.0,4.78551641383368,15.04106758718267,1.7615308465077513,33.80232169781619
seawater_density_kgm3,1.01,4.790674025030614,15.085106432399563,1.7420672280962028,33.79528235687843
seawater_density_kgm3,1.02,4.79588073973006,15.128492670710951,1.72298399731116,33.78838473259676
