recommended_date,frequency,information_score,reason
2022-01-15,每月一次,0.0,变化平稳，保留月度哨点
2022-02-15,每月一次,0.196404635602061,变化平稳，保留月度哨点
2022-03-10,每周一次,0.4786296290321983,预测变化较快，加密采样
2022-04-15,每月一次,0.2374125084509771,变化平稳，保留月度哨点
2022-05-15,每月一次,0.07565694863953532,变化平稳，保留月度哨点
2022-06-15,每月一次,0.37347791166786765,变化平稳，保留月度哨点
2022-07-10,每周一次,1.0,预测变化较快，加密采样
2022-08-15,每月一次,0.3784585398086782,变化平稳，保留月度哨点
2022-09-15,每月一次,0.3003244705097001,变化平稳，保留月度哨点
2022-10-15,每月一次,0.11993804956702048,变化平稳，保留月度哨点
2022-11-10,每周一次,0.6294156955178796,预测变化较快，加密采样
2022-12-15,每月一次,0.2806634960376701,变化平稳，保留月度哨点
2023-01-15,每月一次,0.11166254680981914,变化平稳，保留月度哨点
2023-02-15,每月一次,0.1597494163444612,变化平稳，保留月度哨点
2023-03-10,每周一次,0.4260700633024175,预测变化较快，加密采样
2023-04-15,每月一次,0.212889698268767,变化平稳，保留月度哨点
2023-05-15,每月一次,0.07210753771940498,变化平稳，保留月度哨点
2023-06-15,每月一次,0.3498933720636779,变化平稳，保留月度哨点
2023-07-10,每周一次,0.9579968808040925,预测变化较快，加密采样
2023-08-15,每月一次,0.37456967534595714,变化平稳，保留月度哨点
2023-09-15,每月一次,0.29339468799192275,变化平稳，保留月度哨点
2023-10-15,每月一次,0.11730332383183079,变化平稳，保留月度哨点
2023-11-10,每周一次,0.6199274614881407,预测变化较快，加密采样
2023-12-15,每月一次,0.2779235235796179,变化平稳，保留月度哨点
