plot,land_type,year,season,crop_id,crop_name,crop_type,area_mu
A1,平旱地,2024,单季,6,小麦,粮食,80.0
A2,平旱地,2024,单季,7,玉米,粮食,55.0
A3,平旱地,2024,单季,7,玉米,粮食,35.0
A4,平旱地,2024,单季,1,黄豆,粮食（豆类）,72.0
A5,平旱地,2024,单季,4,绿豆,粮食（豆类）,68.0
A6,平旱地,2024,单季,8,谷子,粮食,55.0
B1,梯田,2024,单季,6,小麦,粮食,60.0
B2,梯田,2024,单季,2,黑豆,粮食（豆类）,46.0
B3,梯田,2024,单季,3,红豆,粮食（豆类）,40.0
B4,梯田,2024,单季,4,绿豆,粮食（豆类）,28.0
B5,梯田,2024,单季,5,爬豆,粮食（豆类）,25.0
B6,梯田,2024,单季,8,谷子,粮食,86.0
B7,梯田,2024,单季,6,小麦,粮食,55.0
B8,梯田,2024,单季,8,谷子,粮食,44.0
B9,梯田,2024,单季,9,高粱,粮食,50.0
B10,梯田,2024,单季,10,黍子,粮食,25.0
B11,梯田,2024,单季,1,黄豆,粮食（豆类）,60.0
B12,梯田,2024,单季,7,玉米,粮食,45.0
B13,梯田,2024,单季,14,莜麦,粮食,35.0
B14,梯田,2024,单季,15,大麦,粮食,20.0
C1,山坡地,2024,单季,11,荞麦,粮食,15.0
C2,山坡地,2024,单季,12,南瓜,粮食,13.0
C3,山坡地,2024,单季,1,黄豆,粮食（豆类）,15.0
C4,山坡地,2024,单季,13,红薯,粮食,18.0
C5,山坡地,2024,单季,6,小麦,粮食,27.0
C6,山坡地,2024,单季,3,红豆,粮食（豆类）,20.0
D1,水浇地,2024,第一季,20,土豆,蔬菜 ,15.0
D1,水浇地,2024,第二季,36,白萝卜,蔬菜 ,15.0
D2,水浇地,2024,第一季,28,小青菜,蔬菜 ,10.0
D2,水浇地,2024,第二季,35,大白菜,蔬菜 ,10.0
D3,水浇地,2024,第一季,21,西红柿,蔬菜 ,14.0
D3,水浇地,2024,第二季,35,大白菜,蔬菜 ,14.0
D4,水浇地,2024,第一季,22,茄子,蔬菜 ,6.0
D4,水浇地,2024,第二季,35,大白菜,蔬菜 ,6.0
D5,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,10.0
D5,水浇地,2024,第二季,36,白萝卜,蔬菜 ,10.0
D6,水浇地,2024,第一季,18,刀豆,蔬菜（豆类）,12.0
D6,水浇地,2024,第二季,37,红萝卜,蔬菜 ,12.0
D7,水浇地,2024,单季,16,水稻,粮食,22.0
D8,水浇地,2024,单季,16,水稻,粮食,20.0
E1,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6
E1,普通大棚,2024,第二季,38,榆黄菇,食用菌,0.6
E2,普通大棚,2024,第一季,24,青椒,蔬菜 ,0.6
E2,普通大棚,2024,第二季,38,榆黄菇,食用菌,0.6
E3,普通大棚,2024,第一季,25,菜花,蔬菜 ,0.6
E3,普通大棚,2024,第二季,38,榆黄菇,食用菌,0.6
E4,普通大棚,2024,第一季,26,包菜,蔬菜 ,0.6
