plot,land_type,year,season,stat_land_type,stat_season,crop_id,crop_name,crop_type,area_mu,yield_jin_mu,production_jin,cost_yuan
A1,平旱地,2024,单季,平旱地,单季,11,荞麦,粮食,80.0,110.0,8800.0,28000.0
A2,平旱地,2024,单季,平旱地,单季,5,爬豆,粮食（豆类）,55.0,415.0,22825.0,19250.0
A3,平旱地,2024,单季,平旱地,单季,11,荞麦,粮食,35.0,110.0,3850.0,12250.0
A4,平旱地,2024,单季,平旱地,单季,10,黍子,粮食,72.0,525.0,37800.0,25920.0
A5,平旱地,2024,单季,平旱地,单季,11,荞麦,粮食,68.0,110.0,7480.0,23800.0
A6,平旱地,2024,单季,平旱地,单季,11,荞麦,粮食,55.0,110.0,6050.0,19250.0
B1,梯田,2024,单季,梯田,单季,10,黍子,粮食,60.0,500.0,30000.0,21600.0
B10,梯田,2024,单季,梯田,单季,5,爬豆,粮食（豆类）,25.0,395.0,9875.0,8750.0
B11,梯田,2024,单季,梯田,单季,11,荞麦,粮食,60.0,105.0,6300.0,21000.0
B12,梯田,2024,单季,梯田,单季,11,荞麦,粮食,45.0,105.0,4725.0,15750.0
B13,梯田,2024,单季,梯田,单季,3,红豆,粮食（豆类）,35.0,380.0,13300.0,12250.0
B14,梯田,2024,单季,梯田,单季,11,荞麦,粮食,20.0,105.0,2100.0,7000.0
B2,梯田,2024,单季,梯田,单季,3,红豆,粮食（豆类）,46.0,380.0,17480.0,16100.0
B3,梯田,2024,单季,梯田,单季,2,黑豆,粮食（豆类）,40.0,475.0,19000.0,16000.0
B4,梯田,2024,单季,梯田,单季,11,荞麦,粮食,28.0,105.0,2940.0,9800.0
B5,梯田,2024,单季,梯田,单季,11,荞麦,粮食,25.0,105.0,2625.0,8750.0
B6,梯田,2024,单季,梯田,单季,13,红薯,粮食,86.0,2100.0,180600.0,172000.0
B7,梯田,2024,单季,梯田,单季,11,荞麦,粮食,55.0,105.0,5775.0,19250.0
B8,梯田,2024,单季,梯田,单季,12,南瓜,粮食,44.0,2850.0,125400.0,44000.0
B9,梯田,2024,单季,梯田,单季,11,荞麦,粮食,50.0,105.0,5250.0,17500.0
C1,山坡地,2024,单季,山坡地,单季,12,南瓜,粮食,15.0,2700.0,40500.0,15000.0
C2,山坡地,2024,单季,山坡地,单季,11,荞麦,粮食,13.0,100.0,1300.0,4550.0
C3,山坡地,2024,单季,山坡地,单季,11,荞麦,粮食,15.0,100.0,1500.0,5250.0
C4,山坡地,2024,单季,山坡地,单季,11,荞麦,粮食,18.0,100.0,1800.0,6300.0
C5,山坡地,2024,单季,山坡地,单季,11,荞麦,粮食,27.0,100.0,2700.0,9450.0
C6,山坡地,2024,单季,山坡地,单季,1,黄豆,粮食（豆类）,20.0,360.0,7200.0,8000.0
D1,水浇地,2024,第一季,水浇地,第一季,29,黄瓜,蔬菜,15.0,12000.0,180000.0,43500.0
D1,水浇地,2024,第二季,水浇地,第二季,36,白萝卜,蔬菜,15.0,4000.0,60000.0,7500.0
D2,水浇地,2024,第一季,水浇地,第一季,17,豇豆,蔬菜（豆类）,10.0,3000.0,30000.0,20000.0
D2,水浇地,2024,第二季,水浇地,第二季,37,红萝卜,蔬菜,10.0,3000.0,30000.0,5000.0
D3,水浇地,2024,第一季,水浇地,第一季,29,黄瓜,蔬菜,14.0,12000.0,168000.0,40600.0
D3,水浇地,2024,第二季,水浇地,第二季,36,白萝卜,蔬菜,14.0,4000.0,56000.0,7000.0
