plot,land_type,year,season,stat_land_type,stat_season,crop_id,crop_name,crop_type,area_mu,yield_jin_mu,production_jin,cost_yuan
A1,平旱地,2024,单季,平旱地,单季,3,红豆,粮食（豆类）,80.0,360.0,28800.0,29400.0
A2,平旱地,2024,单季,平旱地,单季,1,黄豆,粮食（豆类）,55.0,360.0,19800.0,23100.0
A3,平旱地,2024,单季,平旱地,单季,9,高粱,粮食,35.0,567.0,19845.0,14700.0
A4,平旱地,2024,单季,平旱地,单季,3,红豆,粮食（豆类）,72.0,360.0,25920.0,26460.0
A5,平旱地,2024,单季,平旱地,单季,1,黄豆,粮食（豆类）,68.0,360.0,24480.0,28560.0
A6,平旱地,2024,单季,平旱地,单季,1,黄豆,粮食（豆类）,55.0,360.0,19800.0,23100.0
B1,梯田,2024,单季,梯田,单季,11,荞麦,粮食,60.0,94.5,5670.0,22050.0
B10,梯田,2024,单季,梯田,单季,5,爬豆,粮食（豆类）,25.0,355.5,8887.5,9187.5
B11,梯田,2024,单季,梯田,单季,3,红豆,粮食（豆类）,60.0,342.0,20520.0,22050.0
B12,梯田,2024,单季,梯田,单季,5,爬豆,粮食（豆类）,45.0,355.5,15997.5,16537.5
B13,梯田,2024,单季,梯田,单季,4,绿豆,粮食（豆类）,35.0,297.0,10395.0,12862.5
B14,梯田,2024,单季,梯田,单季,9,高粱,粮食,20.0,540.0,10800.0,8400.0
B2,梯田,2024,单季,梯田,单季,3,红豆,粮食（豆类）,46.0,342.0,15732.0,16905.0
B3,梯田,2024,单季,梯田,单季,11,荞麦,粮食,40.0,94.5,3780.0,14700.0
B4,梯田,2024,单季,梯田,单季,2,黑豆,粮食（豆类）,28.0,427.5,11970.0,11760.0
B5,梯田,2024,单季,梯田,单季,3,红豆,粮食（豆类）,25.0,342.0,8550.0,9187.5
B6,梯田,2024,单季,梯田,单季,4,绿豆,粮食（豆类）,86.0,297.0,25542.0,31605.0
B7,梯田,2024,单季,梯田,单季,4,绿豆,粮食（豆类）,55.0,297.0,16335.0,20212.5
B8,梯田,2024,单季,梯田,单季,4,绿豆,粮食（豆类）,44.0,297.0,13068.0,16170.0
B9,梯田,2024,单季,梯田,单季,4,绿豆,粮食（豆类）,50.0,297.0,14850.0,18375.0
C1,山坡地,2024,单季,山坡地,单季,13,红薯,粮食,15.0,1800.0,27000.0,31500.0
C2,山坡地,2024,单季,山坡地,单季,2,黑豆,粮食（豆类）,13.0,405.0,5265.0,5460.0
C3,山坡地,2024,单季,山坡地,单季,12,南瓜,粮食,15.0,2430.0,36450.0,15750.0
C4,山坡地,2024,单季,山坡地,单季,11,荞麦,粮食,18.0,90.0,1620.0,6615.0
C5,山坡地,2024,单季,山坡地,单季,10,黍子,粮食,27.0,427.5,11542.5,10206.0
C6,山坡地,2024,单季,山坡地,单季,5,爬豆,粮食（豆类）,20.0,337.5,6750.0,7350.0
D1,水浇地,2024,第一季,水浇地,单季,16,水稻,粮食,15.0,450.0,6750.0,10710.0
D2,水浇地,2024,第一季,水浇地,第一季,18,刀豆,蔬菜（豆类）,10.0,1800.0,18000.0,10500.0
