model,price_factor,yield_factor,uncapped_profit_yuan
waste,0.9,0.9,37440424.150000006
waste,0.9,1.0,42164363.5
waste,0.9,1.1,46888302.85000001
waste,1.0,0.9,42164363.5
waste,1.0,1.0,47413185.0
waste,1.0,1.1,52662006.5
waste,1.1,0.9,46888302.849999994
waste,1.1,1.0,52662006.5
waste,1.1,1.1,58435710.15000001
half_price,0.9,0.9,83851496.3375
half_price,0.9,1.0,93928700.375
half_price,0.9,1.1,104005904.4125
half_price,1.0,0.9,93928700.375
half_price,1.0,1.0,105125593.75
half_price,1.0,1.1,116322487.125
half_price,1.1,0.9,104005904.4125
half_price,1.1,1.0,116322487.125
half_price,1.1,1.1,128639069.8375
robust_worst_case,0.9,0.9,37915964.52250001
robust_worst_case,0.9,1.0,42703449.025000006
robust_worst_case,0.9,1.1,47490933.5275
robust_worst_case,1.0,0.9,42703449.025000006
robust_worst_case,1.0,1.0,48022876.25
robust_worst_case,1.0,1.1,53342303.474999994
robust_worst_case,1.1,0.9,47490933.5275
robust_worst_case,1.1,1.0,53342303.474999994
robust_worst_case,1.1,1.1,59193673.4225
